product_code,major category,minor category,production type,multiplication_factor
pp044,Flores e Plantas,Flores cortadas e folhagem cortada,Flores cortadas,1
pp046,Flores e Plantas,Flores cortadas e folhagem cortada,Flores cortadas e folhagem cortada,1
pp045,Flores e Plantas,Flores cortadas e folhagem cortada,Folhagem cortada,1
pp047,Flores e Plantas,Plantas,Plantas ornamentais,1
pp350,Flores e Plantas,Plantas,Material vegetal jovem,1
pp048,Flores e Plantas,Flores e Plantas (outro),Outro [Especifique],1
pp049,Fonio,Fonio,Fonio,1
pp050,Fonio,Fonio,Outro [Especifique],1
pp019,"Fruta processada (sumo, seco e polpa)",Açaí,Açaí (seco),1
pp020,"Fruta processada (sumo, seco e polpa)",Maçãs,Maçãs (secas),1
pp021,"Fruta processada (sumo, seco e polpa)",Damasco,Damasco (seco),1
pp022,"Fruta processada (sumo, seco e polpa)",Banana,Banana (seca),1
pp023,"Fruta processada (sumo, seco e polpa)",Mirtilo,Mirtilo (seco),1
pp024,"Fruta processada (sumo, seco e polpa)",Cereja,Cereja (seca),1
pp025,"Fruta processada (sumo, seco e polpa)",Coco,Coco (seco),1
pp026,"Fruta processada (sumo, seco e polpa)",Tâmaras,Tâmaras (seco),1
pp027,"Fruta processada (sumo, seco e polpa)",Limes,Limes (secas),1
pp028,"Fruta processada (sumo, seco e polpa)",Manga,Manga (seca),1
pp029,"Fruta processada (sumo, seco e polpa)",Melão (Cucumis melo),Melão (Cucumis melo) (seco),1
pp041,"Fruta processada (sumo, seco e polpa)",Fruta processada (outro),Outros frutos secos [Especificar],1
pp030,"Fruta processada (sumo, seco e polpa)",Mamão,Mamão (seco),1
pp031,"Fruta processada (sumo, seco e polpa)",Peras,Peras (secas),1
pp327,"Fruta processada (sumo, seco e polpa)",Caqui,Caqui (seco),1
pp032,"Fruta processada (sumo, seco e polpa)",Physalis,Physalis (seco),1
pp033,"Fruta processada (sumo, seco e polpa)",Ananás,Ananás (seco),1
pp034,"Fruta processada (sumo, seco e polpa)",Ameixas,Ameixas (secas),1
pp035,"Fruta processada (sumo, seco e polpa)",Romã,Romã (seca),1
pp036,"Fruta processada (sumo, seco e polpa)",Uva passa,Uva passa (seca),1
pp037,"Fruta processada (sumo, seco e polpa)",Framboesas,Framboesas (secas),1
pp038,"Fruta processada (sumo, seco e polpa)",Sultana,Sultana (seca),1
pp039,"Fruta processada (sumo, seco e polpa)",Melancia,Melancia (seca),1
pp040,"Fruta processada (sumo, seco e polpa)",Damasco selvagem,Damasco selvagem (seco),1
pp051,Fruta fresca,Açaí,Açaí (fresco),1
pp052,Fruta fresca,Maçãs,Maçãs (frescas),1
pp053,Fruta fresca,Damasco,Damasco (fresco),1
pp054,Fruta fresca,Abacates,Abacates (frescos),1
pp055,Fruta fresca,Baobab,Baobab (fresco),1
pp056,Fruta fresca,Cássis,Cássis (fresco),1
pp057,Fruta fresca,Mirtilo,Mirtilo (fresco),1
pp058,Fruta fresca,Cereja,Cereja (fresca),1
pp059,Fruta fresca,Tâmaras,Tâmaras (frescas),1
pp060,Fruta fresca,Fruta de dragão,Fruta de dragão (fresca),1
pp061,Fruta fresca,Toranja,Toranja (fresca),1
pp634,Fruta fresca,Jaqueira,Jaqueira (fresca),1
pp631,Fruta fresca,Lansium,Lansium (fresco),1
pp062,Fruta fresca,Limões,Limões (frescos),1
pp063,Fruta fresca,Limes,Limes (frescas),1
pp064,Fruta fresca,Lychees,Lychees (fresco),1
pp065,Fruta fresca,Mangas,Mangas (frescas),1
pp632,Fruta fresca,Mangostim,Mangostim (fresco),1
pp066,Fruta fresca,Marula,Marula (fresca),1
pp067,Fruta fresca,Melão (Cumumis melo),Melão (Cumumis melo) (fresco),1
pp068,Fruta fresca,Mini melancia,Mini melancia (fresca),1
pp069,Fruta fresca,Nectarinas,Nectarinas (frescas),1
pp070,Fruta fresca,Laranjas,Laranjas (frescas),1
pp071,Fruta fresca,Laranjas: Umbigo,Laranjas: Umbigo (frescas),1
pp072,Fruta fresca,Laranjas: Valencia,Laranjas: Valencia (frescas),1
pp092,Fruta fresca,Fruta fresca (outro),Frutas (outro) ,1
pp103,Ouro e metais preciosos associados,Ouro,Ouro: Convencional,1
pp104,Ouro e metais preciosos associados,Ouro,Ouro: Ecológico,1
pp109,Ouro e metais preciosos associados,Ouro e metais preciosos associados (outros),Outro [Especifique],1
pp107,Ouro e metais preciosos associados,Platina,Platina: Convencional,1
pp108,Ouro e metais preciosos associados,Platina,Platina: Ecológico,1
pp105,Ouro e metais preciosos associados,Prata,Prata: Convencional,1
pp106,Ouro e metais preciosos associados,Prata,Prata: Ecológico,1
pp110,"Ervas, chás herbais e especiarias",Achochilla,Achochilla (Cyclanthera tenuisepala),1
pp111,"Ervas, chás herbais e especiarias",Agave,"Agave (Agave tequilana, A. salmiana)",1
pp112,"Ervas, chás herbais e especiarias",Ajowan,Ajowan (Trachyspermum ammi),1
pp372,"Ervas, chás herbais e especiarias",Alfalfa,Alfalfa (Medicago sativa),1
pp113,"Ervas, chás herbais e especiarias",Allspice,Allspice (Pimenta dioica),1
pp114,"Ervas, chás herbais e especiarias",Almond flower,Almond flower (Prunus dulcis var. dulcis),1
pp115,"Ervas, chás herbais e especiarias",Aloe,"Aloe (Aloe vera, A. barbadensis)",1
pp373,"Ervas, chás herbais e especiarias",Altimisa,Altimisa (Ambrosia arborescens),1
pp374,"Ervas, chás herbais e especiarias",Semente de Tampala,Semente de Tampala,1
pp375,"Ervas, chás herbais e especiarias",Angélica,"Angélica (Angelica sylvestris, A. archangelica)",1
pp376,"Ervas, chás herbais e especiarias",Angélica,"Raiz de angélica (Angelica sylvestris, A. archangelica)",1
pp377,"Ervas, chás herbais e especiarias",Angélica,"Haste de angélica (Angelica sylvestris, A. archangelica)",1
pp116,"Ervas, chás herbais e especiarias",Anis myrtle,Anis myrtle (Syzygium anisatum),1
pp117,"Ervas, chás herbais e especiarias",Anise,Anise (Pimpinella anisum),1
pp378,"Ervas, chás herbais e especiarias",Urucum,Urucum (Bixa orellana),1
pp118,"Ervas, chás herbais e especiarias",Apricot seed,Apricot seed (Prunus armeniaca L.),1
pp627,"Ervas, chás herbais e especiarias",Açúcar /néctar de arenga,Açúcar /néctar de arenga,1
pp119,"Ervas, chás herbais e especiarias",Asafoetida,Asafoetida (Ferula assa-foetida),1
pp315,"Ervas, chás herbais e especiarias",Açúcar de palmeira-de-palmira,Açúcar de palmeira-de-palmira,1
pp379,"Ervas, chás herbais e especiarias",Açúcar de palmeira-de-palmira,Açúcar de palma da palmeira asiática (Borassus flabellifer): Shoots savia,1
pp380,"Ervas, chás herbais e especiarias",Açúcar de palmeira-de-palmira,Açúcar de palma da Palmyra asiático (Borassus flabellifer): Spadix,1
pp381,"Ervas, chás herbais e especiarias",Raiz Astragalus,Raiz Astragalus (especificação Astragalus),1
pp382,"Ervas, chás herbais e especiarias",Berberis,Berberis (Berberis vulgaris),1
pp120,"Ervas, chás herbais e especiarias",Basil,"Basil (Ocimum basilicum, O. gratissimum)",1
pp383,"Ervas, chás herbais e especiarias",Louro,Louro (Laurus nobilis),1
pp384,"Ervas, chás herbais e especiarias",Flor de monarda,Flor de monarda (Monarda didyma),1
pp385,"Ervas, chás herbais e especiarias",Bael,Fruta de Bael (Aegle marmelos),1
pp386,"Ervas, chás herbais e especiarias",Bael,Folha de Bael (Aegle marmelos),1
pp387,"Ervas, chás herbais e especiarias",Bael,Raiz de Bael (Aegle marmelos),1
pp388,"Ervas, chás herbais e especiarias",Folha de mirtilo,Folha de mirtilo (Vaccinium myrtillus),1
pp389,"Ervas, chás herbais e especiarias",Folha de bétula,"Folha de bétula (Betula pendula, B. pubescens)",1
pp390,"Ervas, chás herbais e especiarias",Erva do bispo,Erva do bispo (Aegopodium podagraria),1
pp121,"Ervas, chás herbais e especiarias",Black caraway / black onions seeds,Black caraway / black onions seeds (Nigella sativa),1
pp122,"Ervas, chás herbais e especiarias",Black mulberry leaf,Black mulberry leaf (Morus nigra),1
pp123,"Ervas, chás herbais e especiarias",Black Pepper,Black Pepper (Piper nigrum),1
pp124,"Ervas, chás herbais e especiarias",Blackberry leaf,Blackberry leaf (Rubus fruticosus),1
pp125,"Ervas, chás herbais e especiarias",Blackcurrant leaf,Blackcurrant leaf (Ribes nigrum),1
pp391,"Ervas, chás herbais e especiarias",Raiz de flor-de-lis,Raiz de flor-de-lis (Iris versicolor),1
pp392,"Ervas, chás herbais e especiarias",Folha de boldo-do-chile,Folha de boldo-do-chile (Peumus boldus),1
pp393,"Ervas, chás herbais e especiarias",Borragem,"Borragem (Borago officinalis, pygmaea B.)",1
pp394,"Ervas, chás herbais e especiarias",Borragem,"Borragem (Borago officinalis, pygmaea B.)",1
pp395,"Ervas, chás herbais e especiarias",Borragem,"Borragem (Borago officinalis, pygmaea B.): Desidratado",1
pp126,"Ervas, chás herbais e especiarias",Brazil pepper,Brazil pepper (Schinus terebinthifolius),1
pp396,"Ervas, chás herbais e especiarias",Buchu,Buchu (Agathosma betulina),1
pp397,"Ervas, chás herbais e especiarias",Buchu,Buchu (Agathosma betulina),1
pp398,"Ervas, chás herbais e especiarias",Trigo sarraceno,Trigo sarraceno (Fagopyrum esculentum),1
pp399,"Ervas, chás herbais e especiarias",Raiz de bardana,Raiz de bardana (Arctium majus),1
pp400,"Ervas, chás herbais e especiarias",Burnet,Burnet (espécie Sanguisorba),1
pp401,"Ervas, chás herbais e especiarias",sarça ardente,sarça ardente (albus Dictamnus),1
pp127,"Ervas, chás herbais e especiarias",Camomile,"Camomile (Matricaria recutita, Anthemis nobilis)",1
pp128,"Ervas, chás herbais e especiarias",Caper,Caper (Capparis spinosa),1
pp129,"Ervas, chás herbais e especiarias",Caraway,Caraway (Carum carvi),1
pp130,"Ervas, chás herbais e especiarias",Cardamomo,Cardamomo (espécie Elettaria & Amonum),1
pp131,"Ervas, chás herbais e especiarias",Cardamon fruit,Cardamon fruit (Elettaria and Amonum species),1
pp641,"Ervas, chás herbais e especiarias",Alfarrobeira,Alfarrobeira,1
pp402,"Ervas, chás herbais e especiarias",Musgo irlandês,Musgo irlandês (Chondrus crispus),1
pp403,"Ervas, chás herbais e especiarias",Cássia,Cássia,1
pp404,"Ervas, chás herbais e especiarias",Mamona,Mamona (Ricinus communis),1
pp405,"Ervas, chás herbais e especiarias",Nêveda / Catnip,Nêveda / Catnip (Nepeta espécies),1
pp406,"Ervas, chás herbais e especiarias",Flor de antenária,Flor de antenária (Antennaria dioica),1
pp407,"Ervas, chás herbais e especiarias",Casca da catuaba,Casca da catuaba (Erythroxylon catuaba martius),1
pp132,"Ervas, chás herbais e especiarias",Celery,Celery (Apium graveolens),1
pp133,"Ervas, chás herbais e especiarias",Centelha,Centelha (Centella asiatica),1
pp408,"Ervas, chás herbais e especiarias",Centáurea-menor,Centáurea-menor (Erythraea centaurium),1
pp134,"Ervas, chás herbais e especiarias",Chervil,Chervil (Anthriscus cerefolium),1
pp135,"Ervas, chás herbais e especiarias",Chia seeds,Chia seeds (Salvia hispanica),1
pp136,"Ervas, chás herbais e especiarias",Chicória,Chicória (Cichorium intybus),1
pp137,"Ervas, chás herbais e especiarias",Malagueta,Malagueta (espécie Capsicum),1
pp409,"Ervas, chás herbais e especiarias",Chirata,Chirata (Swertia chirata),1
pp138,"Ervas, chás herbais e especiarias",Chives,"Chives (Allium schoenoprasum, A. odoratum)",1
pp410,"Ervas, chás herbais e especiarias",Flor crisântemo,Flor crisântemo (Chrysanthemum espécies),1
pp411,"Ervas, chás herbais e especiarias",Cecília,Cecília (Myrrhis odorata),1
pp412,"Ervas, chás herbais e especiarias",Casca de quina vermelha,Casca de quina vermelha (Cinchona succirubra),1
pp139,"Ervas, chás herbais e especiarias",Cinnamon,"Cinnamon (Cinnamomum zeylanicum, C. cassia)",1
pp140,"Ervas, chás herbais e especiarias",Citronella grass,"Citronella grass (Cymbopogon winterianus, C. nardus)",1
pp141,"Ervas, chás herbais e especiarias",Clove,Clove (Syzygium aromaticum),1
pp413,"Ervas, chás herbais e especiarias",Licopódio,Licopódio (Lycopodium clavatum),1
pp414,"Ervas, chás herbais e especiarias",Tiririca,Tiririca (Cyperus rotundus),1
pp415,"Ervas, chás herbais e especiarias",Açúcar de coco/néctar,Açúcar de coco/néctar (Cocos nucifera),1
pp416,"Ervas, chás herbais e especiarias",Raiz de Codonopsis,Raiz de Codonopsis (Codonopsis pilosulae),1
pp417,"Ervas, chás herbais e especiarias",Folha de café,"Folha de café (Coffea arabica, C. canephora)",1
pp316,"Ervas, chás herbais e especiarias",Folha de café,Folhas de café,1
pp418,"Ervas, chás herbais e especiarias",Noz de cola,Noz de cola (Cola acuminata),1
pp419,"Ervas, chás herbais e especiarias",Azedinha,Azedinha (espécies Rumex),1
pp420,"Ervas, chás herbais e especiarias",Verônica,Verônica (Veronica officinalis),1
pp421,"Ervas, chás herbais e especiarias",Casca de condurango,Casca de condurango (Marsdenia cundurango),1
pp142,"Ervas, chás herbais e especiarias",Coriander,Coriander (Coriandrum sativum),1
pp143,"Ervas, chás herbais e especiarias",Cornflower,Cornflower (Centaurea cyanus),1
pp422,"Ervas, chás herbais e especiarias",Tanaceto,"Tanaceto (Tanacetum vulgare, T. balsamita)",1
pp423,"Ervas, chás herbais e especiarias",Raiz Couch-Grass,Raiz Couch-Grass (Agropyron repens),1
pp424,"Ervas, chás herbais e especiarias",Folha de arando vermelho,Folha de arando vermelho (Vaccinium vitis-idaea),1
pp144,"Ervas, chás herbais e especiarias",Cumin,Cumin (Cuminum cyminum),1
pp145,"Ervas, chás herbais e especiarias",Folhas de caril/folhas de nim doce,Folhas de caril/folhas de nim doce (Murraya koenigii),1
pp425,"Ervas, chás herbais e especiarias",Semente de cuscuta,Semente de cuscuta (Cuscuta epithymum),1
pp426,"Ervas, chás herbais e especiarias",Flor da margarida,Flor da margarida (Bellis perennis),1
pp427,"Ervas, chás herbais e especiarias",Rosa de Damasco,Rosa de Damasco (Rosa damascena),1
pp428,"Ervas, chás herbais e especiarias",Damiana,Damiana (Turnera diffusa var. aphrodisiaca),1
pp146,"Ervas, chás herbais e especiarias",Dandelion,Dandelion (Taraxatum species),1
pp147,"Ervas, chás herbais e especiarias",Dill,Dill (Anethum graveolens),1
pp429,"Ervas, chás herbais e especiarias",Galeopsis,Galeopsis (Galeopsis segetum),1
pp430,"Ervas, chás herbais e especiarias",Sabugueiro,Sabugueiro (Sambucus ebulus),1
pp431,"Ervas, chás herbais e especiarias",Pinheiro das montanhas,Pinheiro das montanhas (Pinus mugo),1
pp432,"Ervas, chás herbais e especiarias",Giesta,Giesta (Genista tinctoria),1
pp433,"Ervas, chás herbais e especiarias",Erva de equinácea,Erva de equinácea (espécies de Echinacea),1
pp434,"Ervas, chás herbais e especiarias",Raiz de equinácea,Raiz de equinácea (espécies de Echinacea),1
pp435,"Ervas, chás herbais e especiarias",Énula,Énula (Inula helenium),1
pp506,"Ervas, chás herbais e especiarias",Epazote,Epazote (chá mexicano) (Chenopodium ambrosioides),1
pp436,"Ervas, chás herbais e especiarias",Epazote,Epazote (chá mexicano) (Chenopodium ambrosioides),1
pp437,"Ervas, chás herbais e especiarias",Eucalipto,Eucalipto (Eucalyptus spec.),1
pp438,"Ervas, chás herbais e especiarias",Prímula,Prímula (Oenothera biennis),1
pp439,"Ervas, chás herbais e especiarias",Eufrásia,Eufrásia (Euphrasia officinalis),1
pp148,"Ervas, chás herbais e especiarias",Fennel,Fennel (Foeniculum vulgare),1
pp149,"Ervas, chás herbais e especiarias",Fenugreek,Fenugreek (Trigonella foenum-graecum),1
pp440,"Ervas, chás herbais e especiarias",Tanacetum/artemísia romana,Tanacetum/artemísia romana (Tanacetum parthenium),1
pp441,"Ervas, chás herbais e especiarias",Cavalinha,Cavalinha (Equisetum arvense),1
pp442,"Ervas, chás herbais e especiarias",Papoila-vermelha,Papoila-vermelha (Papaver rhoeas),1
pp443,"Ervas, chás herbais e especiarias",Tiro de abeto,Tiro de abeto (Abies spec.),1
pp444,"Ervas, chás herbais e especiarias",Casca de sumagre aromático,Casca de sumagre aromático (Rhus aromatica),1
pp445,"Ervas, chás herbais e especiarias",Fumária,Fumária (Fumaria officinalis),1
pp150,"Ervas, chás herbais e especiarias",Galangal,"Galangal (Kaempferia galanga, Languas galanga, L. officinarum, Alpinia galanga, A.officinarum)",1
pp151,"Ervas, chás herbais e especiarias",Garlic chive,"Garlic chive (Allium tuberosum, A. ramosum)",1
pp152,"Ervas, chás herbais e especiarias",Geranium,"Geranium (Pelargonium odoratissimum, P. graveolens)",1
pp446,"Ervas, chás herbais e especiarias",Raiz Giloy,Raiz Giloy (Tinospora cordifolia),1
pp447,"Ervas, chás herbais e especiarias",Haste Giloy,Haste Giloy (Tinospora Cordifolia),1
pp153,"Ervas, chás herbais e especiarias",Ginger,Ginger (Zingiber officicinale),1
pp448,"Ervas, chás herbais e especiarias",Ginkgo,Ginkgo (Ginkgo biloba),1
pp449,"Ervas, chás herbais e especiarias",Raiz de Ginseng,Raiz de Ginseng (Panax ginseng),1
pp450,"Ervas, chás herbais e especiarias",Arruda-caprária,Arruda-caprária (Galega officinalis),1
pp451,"Ervas, chás herbais e especiarias",Goji,Goji (Lycium barbarum),1
pp452,"Ervas, chás herbais e especiarias",Raiz de ouro,Raiz de ouro (Rhodiola rosea),1
pp453,"Ervas, chás herbais e especiarias",Vara-dourada,Vara-dourada (Solidago virgaurea),1
pp454,"Ervas, chás herbais e especiarias",Grãos do paraíso,Grãos do paraíso (Aframomum melegueta),1
pp154,"Ervas, chás herbais e especiarias",Grape leaf,Grape leaf (Vitis vinifera),1
pp455,"Ervas, chás herbais e especiarias",Folha de sempre-lustrosa,Folha de sempre-lustrosa (Bougainvillea spectabilis),1
pp456,"Ervas, chás herbais e especiarias",Chá de montanha grega,Chá de montanha grega (espécies de Sideritis),1
pp457,"Ervas, chás herbais e especiarias",Hera terrestre,Hera terrestre (Glechoma hederacea),1
pp458,"Ervas, chás herbais e especiarias",Semente de guaraná,Semente de guaraná (Paullinia cupana),1
pp155,"Ervas, chás herbais e especiarias",Guayusa / Wayusa,Guayusa / Wayusa (Ilex guayusa),1
pp319,"Ervas, chás herbais e especiarias",Goma arábica,Goma arábica,1
pp459,"Ervas, chás herbais e especiarias",Goma arábica,"Goma-arábica (Acacia senegal, A. seyal)",1
pp460,"Ervas, chás herbais e especiarias",Folha de Gymnema,Folha de Gymnema (Gymnema silvestre),1
pp461,"Ervas, chás herbais e especiarias",Herniária,Herniária (Herniaria hirsuta),1
pp462,"Ervas, chás herbais e especiarias",Espinheiro,Espinheiro (Crataegus species),1
pp463,"Ervas, chás herbais e especiarias",Folha de avelã,Folha de avelã (Corylus avellana),1
pp464,"Ervas, chás herbais e especiarias",Violeta tricolor,Violeta tricolor (Viola tricolor),1
pp465,"Ervas, chás herbais e especiarias",Urze,Urze (Calluna vulgaris),1
pp466,"Ervas, chás herbais e especiarias",Flor de urze,Flor de urze (Calluna vulgaris),1
pp467,"Ervas, chás herbais e especiarias",Maconha,Maconha (Cannabis sativa),1
pp468,"Ervas, chás herbais e especiarias",Erva-benta,Erva-benta (Geum urbanum),1
pp469,"Ervas, chás herbais e especiarias",Raiz de erva-benta,Raiz de erva-benta (Geum urbanum),1
pp470,"Ervas, chás herbais e especiarias",Chá Herbal Não Especificado,Chá Herbal Não Especificado,1
pp156,"Ervas, chás herbais e especiarias",Hibiscus,Hibiscus (Hibiscus sabdariffa),1
pp471,"Ervas, chás herbais e especiarias",Malva-rosa,Malva-rosa (Althaea rosea),1
pp472,"Ervas, chás herbais e especiarias",Cardo-santo,Cardo-santo (Cnicus benedictus),1
pp157,"Ervas, chás herbais e especiarias",Honeybush,Honeybush (Cyclopia species),1
pp473,"Ervas, chás herbais e especiarias",Marroio-branco,Marroio-branco (Marrubium vulgare),1
pp474,"Ervas, chás herbais e especiarias",Casca de castanha-da-índia,Casca de castanha-da-índia (Aesculus hippocastanum),1
pp475,"Ervas, chás herbais e especiarias",Flor de castanha-da-índia,Flor de castanha-da-índia (Aesculus hippocastanum),1
pp476,"Ervas, chás herbais e especiarias",Folha de castanha-da-índia,Folha de castanha-da-índia (Aesculus hippocastanum),1
pp477,"Ervas, chás herbais e especiarias",Raiz-forte,Raiz-forte (Armoracia rusticana),1
pp478,"Ervas, chás herbais e especiarias",Hissopo,Hissopo (Hyssopus officinalis),1
pp479,"Ervas, chás herbais e especiarias",Musgo-da-Islândia,Musgo-da-Islândia (Cetraria islandica),1
pp480,"Ervas, chás herbais e especiarias",Folha da equinácea da Índia,Folha da equinácea da Índia (Andrographis paniculata),1
pp481,"Ervas, chás herbais e especiarias",Raiz da equinácea da Índia,Raiz da equinácea da Índia (Andrographis paniculata),1
pp640,"Ervas, chás herbais e especiarias",goma-oleoresina,goma-oleoresina,1
pp482,"Ervas, chás herbais e especiarias",Ginseng indiano,Ginseng indiano (Withania somnifera),1
pp483,"Ervas, chás herbais e especiarias",Indigo,Indigo (Indigofera tinctoria),1
pp484,"Ervas, chás herbais e especiarias",Salsaparrilha-indiana,Salsaparrilha-indiana (Hemidesmus indicus),1
pp485,"Ervas, chás herbais e especiarias",Galdéria De Hera,Galdéria De Hera (Coccinia indica),1
pp486,"Ervas, chás herbais e especiarias",gengibre japonês,gengibre japonês (Zingiber mioga),1
pp158,"Ervas, chás herbais e especiarias",Jasmine,Jasmine (Jasminum species),1
pp159,"Ervas, chás herbais e especiarias",Juniper berry,Juniper berry (Juniperus communis),1
pp487,"Ervas, chás herbais e especiarias",Nó-de-grama,Nó-de-grama (Polygonum aviculare),1
pp160,"Ervas, chás herbais e especiarias",Kokam,Kokam (Garcinia indica),1
pp488,"Ervas, chás herbais e especiarias",Casca de ipê-roxo,Casca de ipê-roxo (Tebebuia impetiginosa),1
pp489,"Ervas, chás herbais e especiarias",Flor de esporinha,Flor de esporinha (Delphinium consolida),1
pp161,"Ervas, chás herbais e especiarias",Lavender,Lavender (Lavendula species),1
pp320,"Ervas, chás herbais e especiarias",Alho-porro,Alho-porro,1
pp490,"Ervas, chás herbais e especiarias",Erva-cidreira,Erva-cidreira (Mellisa officinalis),1
pp162,"Ervas, chás herbais e especiarias",Erva-cidreira,Lemon balm (Mellisa officinalis),1
pp163,"Ervas, chás herbais e especiarias",Lemon myrtle,Lemon myrtle (Backhousia citriodora),1
pp491,"Ervas, chás herbais e especiarias",Satureja biflora,Satureja biflora (Satureja biflora),1
pp492,"Ervas, chás herbais e especiarias",Lúcia-lima,Lúcia-lima (Aloysia citrodora),1
pp164,"Ervas, chás herbais e especiarias",Lemon verbena,Lemon verbena (Aloysia citrodora),1
pp165,"Ervas, chás herbais e especiarias",Lemongrass,"Lemongrass (Cympobogon citratus, C. flexuosus)",1
pp493,"Ervas, chás herbais e especiarias",Madeira de Guaiacum,Madeira de Guaiacum (Guajacum officinale),1
pp494,"Ervas, chás herbais e especiarias",Tília,"Tília (Tilia cordata, T.  platyphyllos)",1
pp495,"Ervas, chás herbais e especiarias",Tília,"Folha de tília (Tilia cordata, T.  platyphyllos)",1
pp166,"Ervas, chás herbais e especiarias",Liquorice,Liquorice (Glycyrrhiza glabra),1
pp167,"Ervas, chás herbais e especiarias",Long Pepper,"Long Pepper (Piper longum, P. retrofractum, P. officinarum)",1
pp168,"Ervas, chás herbais e especiarias",Lovage herb,Lovage herb (Levisticum officinale),1
pp496,"Ervas, chás herbais e especiarias",Amor e mentiras hemorrágicos,Amor e mentiras hemorrágicos (Amaranthus caudatus),1
pp169,"Ervas, chás herbais e especiarias",Maca,Maca (Lepidium peruvianum),1
pp170,"Ervas, chás herbais e especiarias",Mace,Mace (Myristica fragrans),1
pp497,"Ervas, chás herbais e especiarias",Pervinca de Madagascar,Pervinca de Madagascar (Catharanthus roseus),1
pp498,"Ervas, chás herbais e especiarias",Malabar tamarindo / Cambodge,Malabar tamarindo / Cambodge (Garcinia cambogia),1
pp171,"Ervas, chás herbais e especiarias",Mallow leaf,Mallow leaf (Malva silvestris),1
pp499,"Ervas, chás herbais e especiarias",Resina de feixo-florido,Resina de feixo-florido (Fraxinus ornus),1
pp172,"Ervas, chás herbais e especiarias",Marigold flowers,Marigold flowers (Calendula officinalis),1
pp173,"Ervas, chás herbais e especiarias",Marjoram,Marjoram (Origanum majorana),1
pp174,"Ervas, chás herbais e especiarias",Marjoram,Marjoram fruit (Origanum majorana),1
pp500,"Ervas, chás herbais e especiarias",Marjoram,Folha de Altéia (Althaea officinalis),1
pp501,"Ervas, chás herbais e especiarias",Marjoram,Raiz de altéia (Althaea officinalis),1
pp503,"Ervas, chás herbais e especiarias",Matico folhas,Matico folhas (Aristeguietia glutinosa),1
pp504,"Ervas, chás herbais e especiarias",Flor de filipêndula,Flor de filipêndula (Filipendula ulmaria),1
pp505,"Ervas, chás herbais e especiarias",Erva de filipêndula,Erva de filipêndula (Filipendula ulmaria),1
pp507,"Ervas, chás herbais e especiarias",Valeriana mexicana,Valeriana mexicana (Valeriana edulis),1
